# TNBC response to paclitaxel phenocopies interferon response which reveals cell cycle-associated resistance mechanisms ,,,,,,,,,,,
"# Nicholas L Calistri1, Tiera A. Liby1, Zhi Hu1, Hongmei Zhang1, Mark Dane1, Sean M. Gross1, Laura M. Heiser1,2,# (1 Biomedical Engineering Department, Oregon Health & Science University, Portland Oregon
2 Knight Cancer Institute, Oregon Health & Science University, Portland Oregon
# Corresponding author: heiserl@ohsu.edu)",,,,,,,,,,,
# Supplementary Information 3,,,,,,,,,,,
ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,geneset,enrichmentDB
NA,R-HSA-909733,Interferon alpha/beta signaling,May-37,77/11009,5.371196825277659e-6,0.001552276,0.001300395,2537/684/9636/10410/3106,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-6798695,Neutrophil degranulation,Aug-37,480/11009,1.5547046019144043e-4,0.022465481497663142,0.018820108,684/567/3106/1915/3958/6590/1938/2919,8,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-913531,Interferon Signaling,Jun-37,269/11009,2.474596313926579e-4,0.023302159,0.019521021660329076,2537/684/9636/10410/567/3106,6,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72766,Translation,Jun-37,292/11009,3.845101639649685e-4,0.023302159,0.019521021660329076,8667/3646/1937/1915/51386/1938,6,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-375276,Peptide ligand-binding receptors,May-37,201/11009,5.231376422404276e-4,0.023302159,0.019521021660329076,56477/351/301/3576/2919,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-1236977,Endosomal/Vacuolar pathway,Feb-37,11/11009,5.930927247048488e-4,0.023302159,0.019521021660329076,567/3106,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",Mar-37,52/11009,6.895676500893351e-4,0.023302159,0.019521021660329076,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-879415,Advanced glycosylation endproduct receptor signaling,Feb-37,13/11009,8.375577114070017e-4,0.023302159,0.019521021660329076,351/3958,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-6809371,Formation of the cornified envelope,Apr-37,129/11009,8.808434124010708e-4,0.023302159,0.019521021660329076,25984/3866/3880/3887,4,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-380108,Chemokine receptors bind chemokines,Mar-37,59/11009,9.980856799470202e-4,0.023302159,0.019521021660329076,56477/3576/2919,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72649,Translation initiation complex formation,Mar-37,59/11009,9.980856799470202e-4,0.023302159,0.019521021660329076,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72702,Ribosomal scanning and start codon recognition,Mar-37,59/11009,9.980856799470202e-4,0.023302159,0.019521021660329076,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Mar-37,60/11009,0.001048194,0.023302159,0.019521021660329076,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-844456,The NLRP3 inflammasome,Feb-37,16/11009,0.001280392,0.026430958901384357,0.022142125,10628/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-8876725,Protein methylation,Feb-37,19/11009,0.001813015,0.034930753,0.029262696020454993,1915/1938,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-622312,Inflammasomes,Feb-37,21/11009,0.002217113,0.040046595,0.033548413,10628/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9679506,SARS-CoV Infections,Jun-37,414/11009,0.002355773,0.040048144470455065,0.033549711,684/9636/567/5349/3106/1915,6,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-1236974,ER-Phagosome pathway,Mar-37,90/11009,0.003358083,0.049060373,0.041099566,5720/567/3106,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,Feb-37,26/11009,0.003395182,0.049060373,0.041099566,10628/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9664424,Cell recruitment (pro-inflammatory response),Feb-37,26/11009,0.003395182,0.049060373,0.041099566,10628/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-156842,Eukaryotic Translation Elongation,Mar-37,94/11009,0.003796441,0.052234875150114844,0.043758955689405986,1937/1915/1938,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-418594,G alpha (i) signalling events,May-37,318/11009,0.003976357,0.052234875150114844,0.043758955689405986,56477/351/301/3576/2919,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Feb-37,29/11009,0.004214583,0.052957154,0.044364033,567/3106,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72689,Formation of a pool of free 40S subunits,Mar-37,102/11009,0.004774277,0.057321781,0.048020432,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),May-37,335/11009,0.004958632,0.057321781,0.048020432,56477/351/301/3576/2919,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-1236975,Antigen processing-Cross presentation,Mar-37,105/11009,0.00517667,0.057540683,0.048203814,5720/567/3106,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-6805567,Keratinization,Apr-37,214/11009,0.005548062,0.059384814,0.049748706,25984/3866/3880/3887,4,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,Mar-37,112/11009,0.006193533,0.063259599,0.052994747,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,Mar-37,113/11009,0.006347849,0.063259599,0.052994747,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72613,Eukaryotic Translation Initiation,Mar-37,120/11009,0.007492675,0.069851064,0.058516644298156284,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-72737,Cap-dependent Translation Initiation,Mar-37,120/11009,0.007492675,0.069851064,0.058516644298156284,8667/3646/51386,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,Mar-37,126/11009,0.008565436,0.07735659,0.064804282,9636/567/3106,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-162909,Host Interactions of HIV factors,Mar-37,130/11009,0.009328373,0.081693936,0.068437826,5720/293/567,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-2172127,DAP12 interactions,Feb-37,45/11009,0.009936194,0.082044571,0.068731566,567/3106,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-445355,Smooth Muscle Contraction,Feb-37,45/11009,0.009936194,0.082044571,0.068731566,103910/301,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-6783783,Interleukin-10 signaling,Feb-37,47/11009,0.010803972720989345,0.086731892,0.072658296,3576/2919,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Feb-37,57/11009,0.015619485962077594,0.12200084981190336,0.10220431781729293,10628/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-351202,Metabolism of polyamines,Feb-37,59/11009,0.016674828,0.1268164560516683,0.10623851718041781,5720/6303,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-500792,GPCR ligand binding,May-37,468/11009,0.019279155377150234,0.14286348471785687,0.11968166630889482,56477/351/301/3576/2919,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-449147,Signaling by Interleukins,May-37,473/11009,0.020091226088772902,0.14515910849138422,0.1216047894846781,5720/351/301/3576/2919,5,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9824439,Bacterial Infection Pathways,Feb-37,73/11009,0.024871434797733502,0.17531328430597518,0.14686598211755342,567/1938,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9705683,SARS-CoV-2-host interactions,Mar-37,203/11009,0.030316581202739227,0.20364311007730831,0.17059885382546316,9636/567/3106,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Feb-37,82/11009,0.030844454360801347,0.20364311007730831,0.17059885382546316,9636/351,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-397014,Muscle contraction,Mar-37,205/11009,0.031084257562044987,0.20364311007730831,0.17059885382546316,103910/5349/301,3,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,Jan-37,10/11009,0.033118429666551874,0.20364311007730831,0.17059885382546316,567,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-70635,Urea cycle,Jan-37,10/11009,0.033118429666551874,0.20364311007730831,0.17059885382546316,445,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9617629,Regulation of FOXO transcriptional activity by acetylation,Jan-37,10/11009,0.033118429666551874,0.20364311007730831,0.17059885382546316,10628,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-73614,Pyrimidine salvage,Jan-37,11/11009,0.036370963,0.21144241244828282,0.1771325982994174,1890,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-71291,Metabolism of amino acids and derivatives,Apr-37,376/11009,0.03642307,0.21144241244828282,0.1771325982994174,5720/100131187/445/6303,4,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-156902,Peptide chain elongation,Feb-37,90/11009,0.036581732,0.21144241244828282,0.1771325982994174,1915/1938,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-3371511,HSF1 activation,Jan-37,12/11009,0.03961285,0.21521579177357672,0.18029368824593933,1915,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-73621,Pyrimidine catabolism,Jan-37,12/11009,0.03961285,0.21521579177357672,0.18029368824593933,1890,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Jan-37,12/11009,0.03961285,0.21521579177357672,0.18029368824593933,293,1,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-877300,Interferon gamma signaling,Feb-37,96/11009,0.041133912366302476,0.21521579177357672,0.18029368824593933,567/3106,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-9692914,SARS-CoV-1-host interactions,Feb-37,96/11009,0.041133912366302476,0.21521579177357672,0.18029368824593933,684/1915,2,PTX_24.vs.DMSO_24,reactome
NA,R-HSA-162906,HIV Infection,Mar-37,231/11009,0.041993662,0.21521579177357672,0.18029368824593933,5720/293/567,3,PTX_24.vs.DMSO_24,reactome
